NIOZ140.64;NIOZ140.70;NIOZ140.79;NIOZ140.75;NIOZ140.68;NIOZ140.61;NIOZ140.86;NIOZ140.66;NIOZ140.80;NIOZ140.81;NIOZ140.84;NIOZ140.113;NIOZ140.72;NIOZ140.95;NIOZ140.100;NIOZ140.67;NIOZ140.115;NIOZ140.110;NIOZ140.74;NIOZ140.111;NIOZ140.85;NIOZ140.106;NIOZ140.69;NIOZ140.96;NIOZ140.101;NIOZ140.88;NIOZ140.122;NIOZ140.73;NIOZ140.99;NIOZ140.102;NIOZ140.112;NIOZ140.63;NIOZ140.121;NIOZ140.109;NIOZ140.65;NIOZ140.120;NIOZ140.83;NIOZ140.116;NIOZ140.104;NIOZ140.97;NIOZ140.107;NIOZ140.98;NIOZ140.78;NIOZ140.93;NIOZ140.105;NIOZ140.91;NIOZ140.117;NIOZ140.77;NIOZ140.87;NIOZ140.89;NIOZ140.118;NIOZ140.103;NIOZ140.92;NIOZ140.114;NIOZ140.76;NIOZ140.94;NIOZ140.119;NIOZ140.108
77080;58514;54394;27652;26270;28824;23460;15202;21160;17138;21694;6370;19192;152;2538;10572;8288;6924;11326;2322;8992;1384;9664;2010;2770;11888;178;5276;544;76;854;7146;0;530;3096;1242;3756;150;286;1638;1138;216;2660;198;754;240;402;1342;1640;1332;586;184;910;48;1720;26;1226;52
10438;886;1044;98;98;110;462;1456;180;274;690;8;24;186;900;138;66;522;150;2848;180;1088;984;3688;1206;0;16;232;64;138;0;6;168;1618;62;0;12;30;268;718;806;138;390;32;386;206;0;118;74;520;80;58;422;24;66;6;376;42
0;0;14;0;0;0;0;0;46;0;0;12710;0;262;222;14;2996;276;0;920;106;70;26;118;110;0;98;30;0;34;404;0;3966;224;0;4414;0;164;36;0;248;62;24;22;0;4;288;22;0;0;516;0;46;82;0;0;48;8
0;0;0;0;0;160;1918;72;572;12;424;0;16;24532;12956;662;3998;13700;38;23034;1796;2734;46;3112;6206;0;11264;44;200;7022;4900;430;10;914;0;510;18;3218;1008;0;188;448;60;1176;4630;38;1358;0;22;0;370;830;60;1904;0;506;36;46
0;300;1838;372;50;1294;148;4;38;520;716;574;98;388;14814;334;0;638;172;952;0;68;72;344;1316;96;6;42;378;16;16;144;0;284;110;190;40;0;60;958;0;28;70;74;28;0;30;16;138;216;2;0;240;4;106;8;0;0
12612;9914;6242;5618;430;3940;2464;346;1530;1232;2302;1184;782;4276;7426;456;238;1488;1806;1376;588;198;1706;2900;3786;962;24;2666;4694;310;134;502;126;314;684;176;266;8;10;3358;740;208;18;608;286;824;42;170;436;948;8;176;1140;68;66;50;268;12
10882;0;1074;288;0;0;74;436;354;546;294;1512;26;514;0;42;0;1032;180;1120;114;674;246;1798;102;30;10;54;158;56;110;188;82;1604;0;1180;10;74;648;0;502;78;68;52;932;0;110;92;0;0;182;110;62;12;40;0;54;80
0;0;100;0;0;0;76;0;0;0;222;0;8;658;1122;30;76;8696;48;96;0;438;0;166;66;0;582;54;130;386;408;0;0;2594;0;988;24;200;828;0;88;10;44;258;1196;90;222;0;30;0;426;384;0;420;0;116;0;0
0;0;0;0;0;0;7378;72;2828;42;966;0;6;234;752;2494;142;3154;1040;370;4946;308;10;272;152;0;350;18;88;256;166;392;252;228;22;862;18;98;230;0;686;72;58;140;432;298;430;4;238;0;158;204;0;250;4;90;192;4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;0;3258;0;30;0;36;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;260;5370;0;0;0;72;0;158;0;0;2;0;10;0;0;0;96;312;0;132;0;0;14;0;66;0;0;80;32;0;0;0;0;0;14;50;0;80;0;22;0;0
0;0;0;28;0;0;0;0;70;36;0;0;0;1776;54;0;146;138;0;0;108;3466;0;606;524;0;1304;0;44;70;238;70;0;62;4;176;6;574;922;0;200;292;0;300;1286;0;1182;0;12;0;168;236;26;1082;0;254;0;4
3368;0;890;0;0;0;40;62;44;46;6;0;0;52;0;88;0;0;80;0;0;30;54;510;0;8;0;14;0;0;0;30;0;0;4;0;0;6;0;0;0;0;18;20;0;0;0;46;40;20;0;0;16;0;10;0;0;0
1358;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;28;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1468;0;0;0;324;0;0;0;0;0;0;4;422;378;0;0;3928;32;14;194;82;0;360;504;0;3556;14;16;298;1176;52;108;534;0;942;26;342;132;0;1190;254;0;504;966;0;344;0;0;0;468;368;0;352;0;124;486;42
3270;0;534;0;0;0;20;0;0;216;0;944;16;128;148;40;898;148;94;786;0;206;250;728;306;6;22;62;36;96;182;44;202;604;0;520;14;54;222;0;0;160;82;50;122;0;58;56;0;0;86;48;122;28;22;12;0;16
0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;58;100;0;0;586;0;1230;0;0;7310;160;0;0;268;0;272;0;376;0;0;0;0;0;0;216;30;378;0;0;0;498;0;0;40;0;10;0;0
1156;0;0;0;0;0;0;0;0;42;0;0;32;38;0;0;0;0;0;0;0;0;46;148;0;6;0;80;0;0;0;78;0;0;0;0;0;12;0;0;0;0;194;14;0;0;0;0;0;0;56;0;0;22;0;10;0;0
0;0;0;0;0;0;98;0;0;0;0;0;0;108;220;32;354;1454;24;0;160;56;18;204;70;0;128;44;158;188;50;70;164;2554;0;760;24;64;270;44;860;0;52;472;350;0;154;2;0;0;66;562;0;266;0;146;60;22
0;0;0;0;0;0;138;0;0;0;0;0;0;154;204;0;0;556;0;766;258;464;0;56;190;0;318;0;84;182;0;132;0;2228;0;442;0;38;46;0;284;0;0;40;420;44;162;8;0;0;182;62;0;130;0;20;118;8
0;0;0;0;0;0;0;0;0;0;0;0;28;1568;442;112;160;306;0;0;88;106;0;178;726;0;168;18;26;184;48;0;0;746;0;84;112;420;278;0;314;14;0;12;278;0;54;0;0;0;140;170;0;80;22;26;0;2
0;0;0;0;0;0;0;30;0;0;0;0;0;88;140;0;270;2454;16;476;0;0;0;0;156;0;22;0;140;0;8;22;206;248;0;0;0;10;562;0;0;0;4;148;146;0;12;0;0;0;0;48;0;318;0;332;90;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;20;0;0;0;0;580;0;0;0;0;10;0;0;22;0;0;0;0;6;0;0;0;0;0;0;10;106;0;0;250;0;0;0;0;0;12;0;0;0;0
0;0;0;0;0;0;24;0;0;0;0;0;0;560;292;102;188;4246;26;300;32;940;0;552;612;0;2694;0;64;1468;426;46;0;1268;0;436;0;1050;652;0;1178;0;8;1202;706;0;1170;0;0;0;466;1730;0;1664;0;194;1114;20
0;0;0;0;0;0;0;0;0;0;0;0;0;0;468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;146;186;0;0;214;0;0;96;892;0;336;456;0;778;12;22;612;1250;0;1268;274;0;0;0;1884;284;0;168;30;0;1478;190;0;370;12;0;0;60;794;0;234;0;254;0;4
0;1272;238;208;60;146;0;0;0;128;0;0;80;802;104;274;0;0;60;118;238;0;28;0;194;40;36;26;8;36;78;120;0;62;346;260;106;0;22;972;264;138;6;10;124;0;134;258;0;4;0;82;0;16;38;26;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;12;724;340;0;48;224;0;0;24;76;0;0;700;0;570;14;18;514;1496;0;0;272;0;0;0;462;366;0;1452;48;0;78;454;0;280;0;0;0;634;502;0;64;0;24;0;0
0;0;0;0;0;0;130;0;0;0;0;0;0;504;0;0;156;0;72;0;0;0;0;78;0;0;40;0;0;36;0;0;0;38;0;0;0;266;18;0;0;0;0;0;0;0;26;0;0;0;124;0;0;0;0;6;0;0
748;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;304;0;94;0;554;8;0;0;10;0;0;0;0;344;0;0;294;0;182;4;154;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
748;386;0;138;0;158;0;42;124;54;0;0;44;484;0;0;0;0;58;724;8;50;638;636;32;70;0;10;78;10;0;8;0;0;22;0;12;0;0;352;106;122;0;50;50;0;0;0;0;50;32;0;0;0;18;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;568;668;0;160;1096;0;0;476;224;30;440;432;0;568;28;14;438;264;148;0;408;0;150;0;204;196;0;418;0;0;220;180;0;144;0;0;0;272;82;0;432;18;140;0;8
334;516;0;0;40;0;12;0;0;0;0;280;28;0;0;0;0;0;0;0;0;0;18;0;8;116;8;66;102;0;0;32;0;0;0;0;0;0;0;4;0;0;38;0;4;28;0;0;0;0;0;0;0;10;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;414;0;0;0;222;0;0;0;0;0;582;334;0;82;0;28;18;0;0;0;0;0;0;0;128;32;0;0;0;0;26;434;0;70;0;0;0;122;0;0;0;0;28;0;0
0;0;0;0;0;0;0;0;0;14;0;0;0;182;588;94;0;1630;0;532;0;166;0;0;0;0;32;0;24;64;68;0;0;1040;0;944;0;40;212;0;276;104;10;52;288;60;0;0;0;0;92;144;0;54;0;88;578;2
0;0;0;160;0;0;0;0;0;0;0;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;42;0;0
496;0;182;172;0;0;104;16;0;0;68;132;0;62;0;0;32;0;160;340;16;0;0;228;0;0;0;0;0;0;0;0;150;118;0;198;0;10;88;200;0;0;0;0;0;0;0;0;0;0;38;42;46;0;0;0;0;0
304;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;32;110;18;0;0;0;0;0;0;0;100;0;0;0;0;0;0;164;0;0;36;136;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0
300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;18;30;0;42;0;0;112;0;0;26;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1414;66;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;188;0;0;0;0;0;0;12;76;114;0;262;736;0;0;0;852;0;394;236;0;818;14;26;394;122;18;56;240;0;390;10;706;330;236;258;276;0;376;646;0;250;0;68;0;380;454;18;844;0;204;66;16
0;0;0;0;0;438;142;8;40;0;0;0;28;276;448;0;0;70;0;0;274;0;0;362;200;0;152;18;22;14;160;64;0;1062;0;228;78;256;16;0;166;34;34;44;206;12;0;0;58;0;282;100;22;162;32;64;0;0
0;538;402;0;778;0;162;22;0;46;292;322;12;0;304;26;0;0;0;0;0;366;386;342;220;36;30;4;14;1430;0;104;0;210;62;286;30;4;0;262;114;50;0;20;34;196;0;12;0;10;90;42;14;0;36;0;886;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0
0;178;856;136;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;24;0;0;40;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;778;8;0;0;0;0;0;0;296;0;72;0;0;0;14;0;40;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
